event_title,talk_title,talk_speakers,talk_description
https://socialdatascience.network/fall2023/sess4.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","('Dr. Ghita Berrada, LSE', 'Dr. Divya Srivastava, LSE', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and her talk', 'Promoting the systematic use of real-world data and real-world evidence for digital health technologies across Europe: A consensus framework', 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/fall2023/sess3.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","('Prof. Petra Novak, CEU', 'Prof. Elisa Omodei, CEU', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and her talk', 'Data science for the Sustainable Development Goals: the case of food security', 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/fall2023/sess2.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","(""Prof. Nicolo' Cavalli, Bocconi"", 'Vincent Philipp Marohl (Columbia University) & Moritz Pfeifer (Leipzig University) ', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and their talk', 'CentralBankRoBERTa: A Fine-Tuned Large Language Model for Central Bank', 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/fall2023/sess1.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","('Dr. Ghita Berrada, LSE', 'Dr. Max Falkenberg ', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and his talk', 'The Evolution of the Climate Discourse on Twitter: Polarization, Hypocrisy, and the Musk Takeover', 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/spring2023/sess7.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","(""Prof. Nicolo' Cavalli, Bocconi University"", 'Dr. Eleonora Bertoni, European Commmission', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and her talk', 'The Handbook of Computational Social Science for Policy', 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/spring2023/sess6.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","('Prof. Petra Kralj Novak, CEU ', 'Prof. Giacomo Calzolari, European University Institute', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and his talk', 'Artificial Intelligence, Algorithmic Recommendations and Competition', 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/spring2023/sess5.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","('Dr. Pedro Ramaciotti Morales, Sciences Po ', 'Prof. Pablo Barberá, Meta & University of Southern California', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and his talk', 'Exploring A New Model of Industry/Academic Collaboration: the U.S. 2020 Facebook and Instagram Election Study', 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/spring2023/sess4.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","('Dr. Erica Thompson, LSE', 'Prof. Bryce Jensen Dietrich, Purdue University', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and his talk', 'Using Multimodal Neural Networks to Better Understand How Voters Process Audiovisual Information', 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/spring2023/sess3.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","('Prof. Ken Benoit, LSE', 'Dr. Erica Thompson, LSE', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and her talk', ""Models, mathematics, and data science: how to make sure we're answering the right questions"", 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/polarisation/2023.html,"('Welcoming address', 'Polarisation and culture session', 'Data driven approaches for polarisation session', 'Closing remarks: towards an European Polarisation Observatory')","('Keynote: Polarisation and the challenges to democracy', 'European Polarisation Observatory: understanding multidimensional polarisation in France online social networks', 'Polarisation and democracy session')","(['Speaker: Pedro Ramaciotti Morales médialab, Sciences Po', 'Speaker: Vanessa Rubio-Márquez, Associate Dean, School of Public Policy, London School of Economics', 'chaired by Pedro Ramaciotti Morales (médialab, Sciences Po)', 'Pedro Ramaciotti Morales (médialab, Sciences Po) & Antonio Fernandez Peralta (Dept. of Network and Data Sciences, CEU)', '7 presentations of 15min + 5min for questions (20min total each)', '4 presentations of 15min + 5min for questions (20min total each)', 'Speaker: Nicolò Cavalli (Department of Social and Political Sciences, Bocconi University)'],)"
https://socialdatascience.network/spring2023/sess2.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","(""Prof. Nicolo' Cavalli, Bocconi"", 'Prof. Aniko Hannak, University of Zurich ', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and her talk', 'New Faces of Bias in Online Platforms', 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/spring2023/sess1.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","('Prof. Ken Benoit, LSE', 'Pica Johansson ', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and her talk', 'Introducing the Online Harms Observatory: AI powered mapping of online abuse in real-time', 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/fall2022/sess3.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","('Dr. Pedro Ramaciotti Morales, Sciences Po', 'Prof. Lisa Singh, Georgetown University', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and her talk', 'Using Open Source Data Streams and Surveys to Improve Our Understanding of Elections', 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/fall2022/sess2.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","('Dr. Olga Gasparyan, Hertie School', 'Dr. Marco Meyer ', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and his talk', 'Does Epistemic Vice Explain Corporate Misconduct?', 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/spring2022/sess10.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","('Prof. Ken Benoit, LSE', 'Prof. Anne Beaulieu, University of Groningen', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and her talk', 'Becoming a data scientist: what it means to put data to work', 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/spring2022/sess9.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","('Dr. Pedro Ramaciotti Morales, Sciences Po', 'Dr. Michelle Reddy & Dr. Hélène Thiollet', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and their talk', 'The Making of a French Migration Crisis', 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/spring2022/sess8.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","('Dr. Olga Gasparyan, Hertie School', 'Prof. Stephanie Lackner, IE University', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and her talk', 'A New Approach to Visualizing Spatial Exposure Data for Comparing Earthquakes', 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/spring2022/sess7.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","('Prof. Ken Benoit, LSE', 'Dr. Omar A. Guerrero, The Alan Turing Institute', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and his talk', 'Modeling Sustainable Development from the Bottom Up: Coupling Open Data and Agent Computing to Inform Policy Prioritisation', 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/spring2022/sess6.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","('Dr. Pedro Ramaciotti Morales, Sciences Po', 'Prof. David Chavalarias', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and his talk', 'Internet Communities and the French Presidential Election', 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/spring2022/sess5.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","('Prof. Gerardo Iñiguez, CEU', 'Prof. Albert-László Barabási, CEU', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and his talk', 'The Science of Success: Quantifying Outcomes in Social Systems', 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/spring2022/sess4.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","('Dr. Olga Gasparyan, Hertie School', 'Prof. Arthur Spirling, New York University', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and his talk', 'Embedding Regression: Models for Context-Specific Description and Inference', 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/spring2022/sess3.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","('Prof. Miriam Golden, EUI', 'Dr. Alexandra Scacco, WZB', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and her talk', 'Information and Irregular Migration: Evidence from a Field Experiment in Nigeria', 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/spring2022/sess2.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","('Prof. Miriam Golden, EUI', 'Prof. Margaret Roberts ', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and her talk', 'Adjusting for Confounding with Text Matching', 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/spring2022/sess1.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","('Prof. Ken Benoit, LSE', 'Prof. Lauren Klein ', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and her talk', 'What is Feminist Data Science?', 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/fall2021/sess7.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","('Prof. Miriam Golden, EUI', 'Prof. César A. Hidalgo, University of Toulouse', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and his talk', 'The Principles of Collective Learning', 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/fall2021/sess5.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","('Dr. Olga Gasparyan, Hertie School', 'Prof. Christopher Lucas, Washington University in St. Louis', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and his talk', '""More than Words: How Political Rhetoric Shapes Voters’ Affect and Evaluation.""', 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/fall2021/sess4.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","('Dr. Jean-Philippe Cointet, Sciences Po', 'Prof. Camille Roth, French National Centre for Scientific Research', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and her talk', 'Serendipity or confinement ?  Deconstructing the principles, effects, and uses of algorithmic recommendation', 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/fall2021/sess3.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","('Dr. Olga Gasparyan, Hertie School', 'Prof. Michelle Torres, Rice University', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and her talk', 'Framing A Protest: Determinants and Effects of Visual Frames', 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/sess9.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","('Dr. Erica Thompson, LSE', 'Prof. Suzy Moat ', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and her talk', 'Understanding Beautiful Places and Wellbeing with AI', 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/fall2021/sess1.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","('Prof. Miriam Golden, EUI', 'Prof. Macartan Humphreys ', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and his talk', 'Incentives and Covid-19 Vaccination Uptake', 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/sess7.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","('Prof. Slava Jankin, the Hertie School', 'Dr. Laura Bronner ', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and her talk', 'The Art of Quantitative Editing', 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/sess6.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","(""Prof. Nicolo' Cavalli, Bocconi University"", 'Prof. Chris Bail, Duke University ', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and his research ', '""Breaking the Social Media Prism: How to Make our Platforms Less Polarizing""', 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/sess5.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","('Dr. Erica Thompson, London School of Economics and Political Science', 'Dr. Melissa Sands, University of California, Merced ', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and her research ', '""Seeing Racial Avoidance on City Streets""', 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/sess4.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","('Prof. Slava Jankin, the Hertie School', 'Dr. Preslav Nakov, Qatar Computing Research Institute ', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and his research ', '""How to detect fake news before it is written""', 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/sess3.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","('Prof. Giacomo Calzolari, European University Institute', 'Christo Wilson, Northeastern University ', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and his research ', '""Negotiating with AI: Fairness in the Labor Market""', 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/sess2.html,"('Welcome Introduction ', 'Seminar Session ', 'Research Discussion. ', 'Announcement ')","('Prof. Kenneth Benoit, LSE Data Science Institute', 'John Burn-Murdoch, the Financial Times ', 'Lead Institution')","(['Setting the scene:', ' Brief intro to the speaker and his project ', '""Tracking Covid-19 with the Financial Times""', 'Q&A / Discussion on the research ', 'Upcoming seminar in the series and other announcements'],)"
https://socialdatascience.network/sess1.html,(),(),"([],)"
https://socialdatascience.network/launch.html,"('Welcome Introduction ', 'Institutional Update', 'Chair: Prof. Kenneth Benoit, LSE Data Science Institute', 'Dr. Erica Thompson, LSE Data Science Institute')","('Prof. Slava Jankin, Hertie School Data Science Lab', 'Round Table Discussion ', 'Closing ')","(['Setting the scene:', ' Context and Goals for the CIVICA Data Science Seminar Series ', ""Introducing CIVICA Partner Institutions' Directors"", 'Topic:', ' Data Science and Digital Transformation in the Time of Coronavirus and What Happens After, with panelists:', 'Closing remarks'],)"
